id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
861,Piúma,Espírito Santo,ES,3204203,piumense,-20.8420055,-40.7357215,21711,74.05,293.2
862,Ponto Belo,Espírito Santo,ES,3204252,pontobelense,-18.123718,-40.5420832,7863,360.11,21.8
863,Presidente Kennedy,Espírito Santo,ES,3204302,kennediense,-21.1010673,-41.045155,11574,594.9,19.5
864,Rio Bananal,Espírito Santo,ES,3204351,ribanense,-19.2332476,-40.2680075,19141,641.93,29.8
865,Rio Novo do Sul,Espírito Santo,ES,3204401,novense-do-sul,-20.8250212,-40.9384914,11622,204.46,56.8
866,Santa Leopoldina,Espírito Santo,ES,3204500,leopoldinense,-20.1004038,-40.5273817,12224,718.1,17.0
867,Santa Maria de Jetibá,Espírito Santo,ES,3204559,santa-mariense,-20.025785,-40.7443164,40431,735.24,55.0
868,Santa Teresa,Espírito Santo,ES,3204609,teresense,-19.9368278,-40.5983289,23590,683.22,34.5
869,São Domingos do Norte,Espírito Santo,ES,3204658,dominguense,-19.0940049,-40.5737316,8638,298.58,28.9
870,São Gabriel da Palha,Espírito Santo,ES,3204708,gabrielense,-19.016745,-40.5381903,37947,434.89,87.3
871,São José do Calçado,Espírito Santo,ES,3204807,calçadense,-21.001985,-41.6610356,10556,273.49,38.6
872,São Mateus,Espírito Santo,ES,3204906,mateense,-18.7190705,-39.856734,130611,2346.05,55.7
873,São Roque do Canaã,Espírito Santo,ES,3204955,são-roquense,-19.7386805,-40.6594438,12415,341.94,36.3
874,Serra,Espírito Santo,ES,3205002,serrano,-20.1215224,-40.3077898,517510,547.63,945.0
875,Sooretama,Espírito Santo,ES,3205010,sooretamense,-19.0983721,-40.1862129,30070,587.04,51.2
876,Vargem Alta,Espírito Santo,ES,3205036,vargem-altense,-20.674002,-41.0098207,21402,417.76,51.2
877,Venda Nova do Imigrante,Espírito Santo,ES,3205069,venda-novense,-20.3275068,-41.1359347,25277,185.91,136.0
878,Viana,Espírito Santo,ES,3205101,vianense,-20.3646691,-40.4274631,78239,312.28,250.5
879,Vila Pavão,Espírito Santo,ES,3205150,pavoense,-18.6168033,-40.6143744,9208,433.26,21.3
880,Vila Valério,Espírito Santo,ES,3205176,vila-valense,-18.9954555,-40.3863554,14080,470.34,29.9
881,Vila Velha,Espírito Santo,ES,3205200,vila-velhense,-20.3477821,-40.2949528,493838,210.23,2349.1
882,Vitória,Espírito Santo,ES,3205309,capixaba,-20.2976178,-40.2957768,362097,97.12,3728.2
1346,Abadia dos Dourados,Minas Gerais,MG,3100104,abadiense,-18.4868538,-47.4030604,6989,881.06,7.9
1347,Abaeté,Minas Gerais,MG,3100203,abaetense,-19.157438,-45.4447859,23237,1817.07,12.8
1348,Abre Campo,Minas Gerais,MG,3100302,abre-campense,-20.2657138,-42.4528138,13454,470.55,28.6
1349,Acaiaca,Minas Gerais,MG,3100401,acaiaquense,-20.3632346,-43.1429363,3994,101.89,39.2
1350,Açucena,Minas Gerais,MG,3100500,açucenense,-19.0764128,-42.5478901,9470,815.42,11.6
1351,Água Boa,Minas Gerais,MG,3100609,água-boense,-14.047489,-52.1593834,13735,1320.26,10.4
1352,Água Comprida,Minas Gerais,MG,3100708,água-compridense,-20.0051731,-48.1002024,1999,492.17,4.1
1353,Aguanil,Minas Gerais,MG,3100807,aguanilense,-20.9671742,-45.4309775,4486,232.09,19.3
1354,Águas Formosas,Minas Gerais,MG,3100906,águas-formosense,-17.0344617,-40.9990597,19207,820.08,23.4
1355,Águas Vermelhas,Minas Gerais,MG,3101003,águas-vermelhense,-15.7311162,-41.5212742,13539,1256.61,10.8
1356,Aimorés,Minas Gerais,MG,3101102,aimorense,-19.4959312,-41.0713439,25167,1348.91,18.7
1357,Aiuruoca,Minas Gerais,MG,3101201,aiuruocano,-21.9753902,-44.6035401,6003,649.68,9.2
1358,Alagoa,Minas Gerais,MG,3101300,alagoense,-22.171467,-44.6417694,2674,161.36,16.6
1359,Albertina,Minas Gerais,MG,3101409,albertinense,-22.1944052,-46.6029812,3007,58.01,51.8
1360,Além Paraíba,Minas Gerais,MG,3101508,além-paraíbano,-21.8293292,-42.7271587,35362,510.25,69.3
1361,Alfenas,Minas Gerais,MG,3101607,alfenense,-21.4261129,-45.9481612,79996,850.45,94.1
1362,Alfredo Vasconcelos,Minas Gerais,MG,3101631,vasconcelense,-21.1448254,-43.7046653,6907,130.82,52.8
1363,Almenara,Minas Gerais,MG,3101706,almenarense,-16.1796844,-40.6953223,41896,2294.43,18.3
1364,Alpercata,Minas Gerais,MG,3101805,alpercatense,-18.9729324,-42.0187848,7424,166.97,44.5
1365,Alpinópolis,Minas Gerais,MG,3101904,alpinopolense,-20.8609004,-46.3865617,19853,454.75,43.7
1366,Alterosa,Minas Gerais,MG,3102001,alterosense,-21.2492346,-46.1391013,14466,362.01,40.0
1367,Alto Caparaó,Minas Gerais,MG,3102050,alto caparoense,-20.4667289,-41.8700097,5847,103.69,56.4
1368,Alto Jequitibá,Minas Gerais,MG,3153509,jequitibaense,-20.4442739,-41.9791516,8317,152.27,54.6
1369,Alto Rio Doce,Minas Gerais,MG,3102100,alto-rio-docense,-21.0341098,-43.3680788,11000,518.05,21.2
1370,Alvarenga,Minas Gerais,MG,3102209,alvarenguense,-19.4178864,-41.7321327,3907,278.17,14.0
1371,Alvinópolis,Minas Gerais,MG,3102308,alvinopolense,-20.10761,-43.0574762,15203,599.44,25.4
1372,Alvorada de Minas,Minas Gerais,MG,3102407,alvoradense,-18.7762079,-43.387374,3606,374.01,9.6
1373,Amparo do Serra,Minas Gerais,MG,3102506,serrense,-20.5421677,-42.8052768,4713,136.19,34.6
1374,Andradas,Minas Gerais,MG,3102605,andradense,-22.0699763,-46.5728156,41077,469.4,87.5
1375,Andrelândia,Minas Gerais,MG,3102803,andrelandense,-21.718564,-44.2857937,12224,1005.29,12.2
1376,Angelândia,Minas Gerais,MG,3102852,angelandense,-17.6784144,-42.2953964,8520,185.21,46.0
1377,Antônio Carlos,Minas Gerais,MG,3102902,antônio-carlense,-21.4416927,-43.7525619,11445,529.92,21.6
1378,Antônio Dias,Minas Gerais,MG,3103009,antônio-diense,-19.526205,-42.8247877,9318,787.06,11.8
1379,Antônio Prado de Minas,Minas Gerais,MG,3103108,pradense-de-minas,-21.0200344,-42.1473903,1598,83.8,19.1
1380,Araçaí,Minas Gerais,MG,3103207,araçaiense,-19.2405959,-44.2289441,2347,187.54,12.5
1381,Aracitaba,Minas Gerais,MG,3103306,aracitabense,-21.345109,-43.374032,2063,106.61,19.4
1382,Araçuaí,Minas Gerais,MG,3103405,araçuaiense,-16.8488172,-42.0633003,36708,2236.28,16.4
1383,Araguari,Minas Gerais,MG,3103504,araguarino,-18.6460396,-48.1938367,117267,2729.51,43.0
1384,Arantina,Minas Gerais,MG,3103603,arantinense,-21.9106617,-44.2559403,2795,89.42,31.3
1385,Araponga,Minas Gerais,MG,3103702,araponguense,-20.6690965,-42.5182528,8439,303.79,27.8
1386,Araporã,Minas Gerais,MG,3103751,araporense,-18.4760974,-49.1423666,6869,295.84,23.2
1387,Arapuá,Minas Gerais,MG,3103801,arapuaense,-19.0355245,-46.1540721,2834,173.89,16.3
1388,Araújos,Minas Gerais,MG,3103900,araujense,-19.9475164,-45.1661304,9273,245.52,37.8
1389,Araxá,Minas Gerais,MG,3104007,araxaense,-19.5906483,-46.9442412,106229,1164.06,91.3
1390,Arceburgo,Minas Gerais,MG,3104106,arceburguense,-21.3655027,-46.9418512,10772,162.88,66.1
1391,Arcos,Minas Gerais,MG,3104205,arcoense,-20.2877726,-45.5396954,40092,509.87,78.6
1392,Areado,Minas Gerais,MG,3104304,areadense,-21.357789,-46.1496185,15070,283.12,53.2
1393,Argirita,Minas Gerais,MG,3104403,argiritense,-21.6121229,-42.8365052,2727,159.38,17.1
1394,Aricanduva,Minas Gerais,MG,3104452,aricanduvense,-17.8978102,-42.6097596,5231,243.33,21.5
1395,Arinos,Minas Gerais,MG,3104502,arinense,-15.9154225,-46.1117639,17875,5279.42,3.4
1396,Astolfo Dutra,Minas Gerais,MG,3104601,astolfo-dutrense,-21.3204684,-42.8832763,14179,158.89,89.2
1397,Ataléia,Minas Gerais,MG,3104700,ataleiense,-18.1466704,-41.1602597,12868,1836.93,7.0
1398,Augusto de Lima,Minas Gerais,MG,3104809,augusto-limense,-18.1462856,-44.2099791,4869,1254.83,3.9
1399,Baependi,Minas Gerais,MG,3104908,baependiano,-21.9574833,-44.8878506,19148,750.55,25.5
