id,cidade,estado,sigla,codigo,gentilico,latitude,longitude,populacao,area,densidade
2303,Canarana,Mato Grosso,MT,5102702,canaranense,-13.5564723,-52.2691109,21579,10882.38,2.0
2304,Carlinda,Mato Grosso,MT,5102793,carlindense,-10.1027732,-55.7578403,10305,2416.14,4.3
2305,Castanheira,Mato Grosso,MT,5102850,castanheirense,-10.9050735,-58.6458369,8729,3909.54,2.2
2306,Chapada dos Guimarães,Mato Grosso,MT,5103007,chapadense,-15.4582953,-55.7524585,19752,6450.54,3.1
2307,Cláudia,Mato Grosso,MT,5103056,claudiense,-11.4009348,-55.0493375,12149,3849.99,3.2
2308,Cocalinho,Mato Grosso,MT,5103106,cocalinhense,-13.7850699,-51.1794546,5700,16516.32,0.3
2309,Colíder,Mato Grosso,MT,5103205,colidense,-10.8068954,-55.4598172,33438,3103.96,10.8
2310,Colniza,Mato Grosso,MT,5103254,colnizense,-9.1013769,-60.3964505,38582,27946.13,1.4
2311,Comodoro,Mato Grosso,MT,5103304,comodorense,-13.213161,-59.6564494,20763,21518.25,1.0
2312,Confresa,Mato Grosso,MT,5103353,confresense,-10.6572906,-51.5703097,30933,5801.95,5.3
2313,Conquista d'Oeste,Mato Grosso,MT,5103361,conquistense d’oeste,-14.7464099,-59.3800105,4038,2684.26,1.5
2314,Cotriguaçu,Mato Grosso,MT,5103379,cotriguaçuenses,-9.868257,-58.5543821,19750,9421.08,2.1
2315,Cuiabá,Mato Grosso,MT,5103403,cuiabano (papa peixe),-15.6014109,-56.0978917,612547,3266.54,187.5
2316,Curvelândia,Mato Grosso,MT,5103437,curvelandenses,-15.6096313,-57.9193917,5219,359.03,14.5
2317,Denise,Mato Grosso,MT,5103452,denisiense,-14.7479574,-56.9661233,9462,1278.5,7.4
2318,Diamantino,Mato Grosso,MT,5103502,diamantinense,-14.4040989,-56.4370932,22041,8191.68,2.7
2319,Dom Aquino,Mato Grosso,MT,5103601,dom-aquinense,-15.6135333,-54.6972774,8178,2224.27,3.7
2320,Feliz Natal,Mato Grosso,MT,5103700,feliz-natalenses,-11.7814177,-53.9106594,14192,11679.0,1.2
2321,Figueirópolis d'Oeste,Mato Grosso,MT,5103809,figueiropolense,-15.5154793,-58.6915912,3494,888.11,3.9
2322,Gaúcha do Norte,Mato Grosso,MT,5103858,gauchenses-do-norte,-12.9655697,-53.5635637,7648,16934.3,0.5
2323,General Carneiro,Mato Grosso,MT,5103908,general-carneirense,-15.4967856,-53.4338092,5540,3710.46,1.5
2324,Glória d'Oeste,Mato Grosso,MT,5103957,glorienses-do-oeste,-15.9411375,-58.2348638,3026,833.61,3.6
2325,Guarantã do Norte,Mato Grosso,MT,5104104,guarantanhense,-9.9501051,-54.9147025,35816,4734.59,7.6
2326,Guiratinga,Mato Grosso,MT,5104203,guiratinguense,-16.3760849,-53.6501903,15141,5044.14,3.0
2327,Indiavaí,Mato Grosso,MT,5104500,indiavaiense,-15.3178342,-58.6229664,2752,592.64,4.6
2328,Ipiranga do Norte,Mato Grosso,MT,5104526,ipiranguense,-12.0147224,-56.1142253,7667,3466.7,2.2
2329,Itanhangá,Mato Grosso,MT,5104542,itanhangaense,-12.1118003,-56.8311117,6737,2898.07,2.3
2330,Itaúba,Mato Grosso,MT,5104559,itaubense,-11.0078209,-55.2422799,3802,4529.58,0.8
2331,Itiquira,Mato Grosso,MT,5104609,itiquirense,-17.2058847,-54.1468825,13345,8659.91,1.5
2332,Jaciara,Mato Grosso,MT,5104807,jaciarense,-15.9559696,-54.9751847,27776,2396.59,11.6
2333,Jangada,Mato Grosso,MT,5104906,jangadense,-15.2354622,-56.492222,8409,1296.75,6.5
2334,Jauru,Mato Grosso,MT,5105002,jauruense,-15.3776137,-58.8747865,8793,1358.41,6.5
2335,Juara,Mato Grosso,MT,5105101,juarense,-11.2670409,-57.5165612,34974,22622.35,1.5
2336,Juína,Mato Grosso,MT,5105150,juinense,-11.4228495,-58.7571929,40997,26189.92,1.6
2337,Juruena,Mato Grosso,MT,5105176,juruenense,-10.4292083,-58.6458369,15865,2778.99,5.7
2338,Juscimeira,Mato Grosso,MT,5105200,juscimeirense,-16.0514285,-54.8858153,11221,2720.48,4.1
2339,Lambari d'Oeste,Mato Grosso,MT,5105234,lambarienses,-15.3852163,-57.8708157,6121,1765.08,3.5
2340,Lucas do Rio Verde,Mato Grosso,MT,5105259,luquense,-13.064847,-55.9193214,65534,3675.22,17.8
2341,Luciára,Mato Grosso,MT,5105309,luciarense,-11.0221141,-50.8456323,2077,4243.03,0.5
2342,Marcelândia,Mato Grosso,MT,5105580,marcelandense,-11.0843569,-54.5213581,10499,12273.55,0.9
2343,Matupá,Mato Grosso,MT,5105606,matupaense,-10.1657265,-54.9367486,16566,5219.03,3.2
2344,Mirassol d'Oeste,Mato Grosso,MT,5105622,miradolense,-15.6767058,-58.0929375,27739,1080.14,25.7
2345,Nobres,Mato Grosso,MT,5105903,nobrense,-14.3501113,-55.7578403,15336,3911.85,3.9
2346,Nortelândia,Mato Grosso,MT,5106000,nortelandense,-14.3322488,-56.6513853,5989,1353.6,4.4
2347,Nossa Senhora do Livramento,Mato Grosso,MT,5106109,livramentense,-15.9002212,-56.2929381,13216,5439.89,2.4
2348,Nova Bandeirantes,Mato Grosso,MT,5106158,nova bandeirantense,-9.7428187,-58.0982046,15288,9593.27,1.6
